student_id,variable,value
75,county,2
75,male,0
75,race,1
76,age,37
76,county,2
76,male,0
76,race,1
77,age,20
77,county,2
77,male,0
77,race,1
78,age,27
78,county,2
78,male,1
78,race,1
79,age,40
79,county,2
79,male,1
79,race,1
80,age,37
80,county,2
80,male,1
80,race,1
81,age,24
81,county,2
81,male,0
81,race,1
82,age,37
82,county,2
82,male,0
82,race,1
83,age,25
83,county,2
83,male,1
83,race,1
84,age,23
84,county,2
84,male,0
84,race,1
85,age,32
85,county,2
85,male,0
85,race,1
86,age,22
86,county,2
86,male,1
86,race,1
87,age,26
87,county,2
87,male,0
87,race,1
88,age,35
88,county,2
88,male,0
88,race,1
89,age,19
89,county,2
89,male,0
89,race,1
90,age,25
90,county,2
90,male,0
90,race,1
91,age,36
91,county,2
91,male,1
91,race,1
92,age,40
92,county,2
92,male,0
92,race,1
93,age,35
93,county,2
93,male,1
93,race,1
94,age,34
94,county,2
94,male,1
94,race,1
95,age,40
95,county,2
95,male,1
95,race,1
96,age,30
96,county,2
96,male,1
96,race,1
97,age,22
97,county,2
97,male,0
97,race,1
98,age,33
98,county,2
98,male,1
98,race,1
99,age,32
99,county,2
99,male,1
99,race,1
100,age,34
100,county,2
100,male,0
100,race,1
101,age,34
101,county,2
101,male,0
101,race,1
102,age,25
102,county,2
102,male,1
102,race,1
103,age,28
103,county,2
103,male,0
103,race,1
104,age,22
104,county,2
104,male,1
104,race,1
105,age,20
105,county,2
105,male,1
105,race,1
106,age,21
106,county,2
106,male,1
106,race,1
107,age,19
107,county,2
107,male,1
107,race,1
108,age,35
108,county,2
108,male,1
108,race,1
109,age,24
109,county,2
109,male,1
109,race,1
110,age,40
110,county,2
110,male,1
110,race,1
111,age,25
111,county,2
111,male,0
111,race,1
112,age,19
112,county,2
112,male,0
112,race,1
113,age,32
113,county,2
113,male,0
113,race,1
114,age,26
114,county,2
114,male,0
114,race,1
115,age,29
115,county,2
115,male,1
115,race,1
116,age,30
116,county,2
116,male,0
116,race,1
117,age,19
117,county,2
117,male,0
117,race,1
118,age,27
118,county,2
118,male,0
118,race,1
119,age,36
119,county,2
119,male,1
119,race,1
120,age,23
120,county,2
120,male,0
120,race,1
121,age,36
121,county,2
121,male,1
121,race,1
122,age,36
122,county,2
122,male,0
122,race,1
123,age,35
123,county,2
123,male,0
123,race,1
124,age,33
124,county,2
124,male,0
124,race,1
125,age,40
125,county,2
125,male,0
125,race,1
126,age,38
126,county,2
126,male,1
126,race,1
127,age,26
127,county,2
127,male,0
127,race,1
128,age,25
128,county,2
128,male,0
128,race,1
129,age,30
129,county,2
129,male,0
129,race,1
130,age,21
130,county,2
130,male,0
130,race,1
131,age,26
131,county,2
131,male,0
131,race,1
132,age,23
132,county,2
132,male,0
132,race,1
133,age,27
133,county,2
133,male,1
133,race,1
134,age,19
134,county,2
134,male,1
134,race,1
135,age,25
135,county,2
135,male,1
135,race,1
136,age,23
136,county,2
136,male,1
136,race,1
137,age,29
137,county,2
137,male,0
137,race,1
138,age,21
138,county,2
138,male,0
138,race,1
139,age,32
139,county,2
139,male,1
139,race,1
140,age,29
140,county,2
140,male,1
140,race,1
141,age,30
141,county,2
141,male,1
141,race,1
142,age,25
142,county,2
142,male,0
142,race,1
143,age,25
143,county,2
143,male,0
143,race,1
144,age,38
144,county,2
144,male,1
144,race,1
145,age,34
145,county,2
145,male,1
145,race,1
146,age,24
146,county,2
146,male,1
146,race,1
147,age,35
147,county,2
147,male,1
147,race,1
148,age,19
148,county,2
148,male,1
148,race,1
149,age,23
149,county,2
149,male,0
149,race,1
150,age,21
150,county,2
150,male,1
150,race,1
151,age,37
151,county,2
151,male,0
151,race,1
152,age,27
152,county,2
152,male,0
152,race,1
153,age,23
153,county,2
153,male,0
153,race,1
154,age,26
154,county,2
154,male,0
154,race,1
155,age,33
155,county,2
155,male,0
155,race,1
156,age,30
156,county,2
156,male,0
156,race,1
157,age,30
157,county,2
157,male,0
157,race,1
158,age,34
158,county,2
158,male,1
158,race,1
159,age,21
159,county,2
159,male,0
159,race,1
160,age,39
160,county,2
160,male,0
160,race,1
161,age,36
161,county,2
161,male,1
161,race,1
162,age,26
162,county,2
162,male,0
162,race,1
163,age,28
163,county,2
163,male,0
163,race,1
164,age,22
164,county,2
164,male,0
164,race,1
165,age,35
165,county,2
165,male,0
165,race,1
166,age,24
166,county,2
166,male,1
166,race,1
167,age,35
167,county,2
167,male,1
167,race,1
168,age,24
168,county,2
168,male,1
168,race,1
169,age,22
169,county,2
169,male,0
169,race,1
170,age,31
170,county,2
170,male,1
170,race,1
171,age,22
171,county,2
171,male,0
171,race,1
172,age,24
172,county,2
172,male,1
172,race,1
173,age,39
173,county,2
173,male,1
173,race,1
174,age,23
174,county,2
174,male,0
174,race,1
175,age,22
175,county,2
175,male,1
175,race,1
176,age,23
176,county,2
176,male,1
176,race,1
177,age,35
177,county,2
177,male,0
177,race,1
178,age,26
178,county,2
178,male,1
178,race,1
179,age,30
179,county,2
179,male,1
179,race,1
180,age,25
180,county,2
180,male,0
180,race,1
181,age,39
181,county,2
181,male,0
181,race,1
182,age,32
182,county,2
182,male,1
182,race,1
183,age,29
183,county,2
183,male,0
183,race,1
184,age,32
184,county,2
184,male,0
184,race,1
185,age,27
185,county,2
185,male,1
185,race,1
186,age,24
186,county,2
186,male,0
186,race,1
187,age,31
187,county,2
187,male,0
187,race,1
188,age,37
188,county,2
188,male,1
188,race,1
189,age,27
189,county,2
189,male,0
189,race,1
190,age,34
190,county,2
190,male,0
190,race,1
191,age,22
191,county,2
191,male,1
191,race,1
192,age,28
192,county,2
192,male,0
192,race,1
193,age,23
193,county,2
193,male,0
193,race,1
194,age,23
194,county,2
194,male,1
194,race,1
195,age,36
195,county,2
195,male,1
195,race,1
196,age,27
196,county,2
196,male,0
196,race,1
197,age,22
197,county,2
197,male,1
197,race,1
198,age,24
198,county,2
198,male,1
198,race,1
199,age,36
199,county,2
199,male,0
199,race,1
200,age,33
200,county,2
200,male,1
200,race,1
201,age,28
201,county,2
201,male,1
201,race,1
202,age,31
202,county,2
202,male,1
202,race,1
203,age,35
203,county,2
203,male,0
203,race,1
204,age,36
204,county,2
204,male,1
204,race,1
205,age,26
205,county,2
205,male,0
205,race,1
206,age,24
206,county,2
206,male,0
206,race,1
207,age,31
207,county,2
207,male,1
207,race,1
208,age,27
208,county,2
208,male,0
208,race,1
209,age,29
209,county,2
209,male,0
209,race,1
210,age,25
210,county,2
210,male,1
210,race,1
211,age,25
211,county,2
211,male,0
211,race,1
212,age,26
212,county,2
212,male,1
212,race,1
213,age,22
213,county,2
213,male,0
213,race,1
214,age,37
214,county,2
214,male,1
214,race,1
215,age,29
215,county,2
215,male,0
215,race,1
216,age,36
216,county,2
216,male,1
216,race,1
217,age,29
217,county,2
217,male,1
217,race,1
218,age,22
218,county,2
218,male,0
218,race,1
219,age,23
219,county,2
219,male,1
219,race,1
220,age,30
220,county,2
220,male,1
220,race,1
221,age,23
221,county,2
221,male,0
221,race,1
222,age,22
222,county,2
222,male,1
222,race,1
223,age,27
223,county,2
223,male,0
223,race,1
224,age,21
224,county,2
224,male,1
224,race,1
225,age,23
225,county,2
225,male,1
225,race,1
226,age,22
226,county,2
226,male,0
226,race,1
227,age,24
227,county,2
227,male,1
227,race,1
228,age,21
228,county,2
228,male,1
228,race,1
229,age,35
229,county,2
229,male,0
229,race,1
230,age,22
230,county,2
230,male,0
230,race,1
231,age,37
231,county,2
231,male,1
231,race,1
232,age,29
232,county,2
232,male,1
232,race,1
233,age,22
233,county,2
233,male,1
233,race,1
234,age,39
234,county,2
234,male,0
234,race,1
235,age,30
235,county,2
235,male,0
235,race,1
236,age,22
236,county,2
236,male,0
236,race,1
237,age,21
237,county,2
237,male,1
237,race,1
238,age,27
238,county,2
238,male,1
238,race,1
239,age,24
239,county,2
239,male,1
239,race,1
240,age,35
240,county,2
240,male,0
240,race,1
241,age,40
241,county,2
241,male,0
241,race,1
242,age,19
242,county,2
242,male,0
242,race,1
243,age,23
243,county,2
243,male,1
243,race,1
244,age,28
244,county,2
244,male,0
244,race,1
245,age,39
245,county,2
245,male,1
245,race,1
246,age,29
246,county,2
246,male,0
246,race,1
247,age,25
247,county,2
247,male,1
247,race,1
248,age,34
248,county,2
248,male,0
248,race,1
249,age,39
249,county,2
249,male,1
249,race,1
250,age,23
250,county,2
250,male,1
250,race,1
251,age,24
251,county,2
251,male,0
251,race,1
252,age,21
252,county,2
252,male,0
252,race,1
253,age,31
253,county,2
253,male,1
253,race,1
254,age,29
254,county,2
254,male,0
254,race,1
255,age,22
255,county,2
255,male,1
255,race,1
256,age,36
256,county,2
256,male,0
256,race,1
257,age,22
257,county,2
257,male,0
257,race,1
258,age,23
258,county,2
258,male,0
258,race,1
259,age,28
259,county,2
259,male,0
259,race,1
260,age,24
260,county,2
260,male,0
260,race,1
261,age,30
261,county,2
261,male,0
261,race,1
262,age,40
262,county,2
262,male,0
262,race,1
263,age,36
263,county,2
263,male,0
263,race,1
264,age,22
264,county,2
264,male,0
264,race,1
265,age,39
265,county,2
265,male,1
265,race,1
266,age,24
266,county,2
266,male,1
266,race,1
267,age,24
267,county,2
267,male,1
267,race,1
268,age,27
268,county,2
268,male,1
268,race,1
269,age,28
269,county,2
269,male,0
269,race,1
270,age,28
270,county,2
270,male,1
270,race,1
271,age,25
271,county,2
271,male,1
271,race,1
272,age,23
272,county,2
272,male,1
272,race,1
273,age,22
273,county,2
273,male,0
273,race,1
274,age,32
274,county,2
274,male,1
274,race,1
275,age,30
275,county,2
275,male,0
275,race,1
276,age,40
276,county,2
276,male,1
276,race,1
277,age,37
277,county,2
277,male,0
277,race,1
278,age,33
278,county,2
278,male,0
278,race,1
279,age,32
279,county,2
279,male,0
279,race,1
280,age,35
280,county,2
280,male,0
280,race,1
281,age,33
281,county,2
281,male,1
281,race,1
282,age,40
282,county,2
282,male,0
282,race,1
283,age,21
283,county,2
283,male,1
283,race,1
284,age,38
284,county,2
284,male,0
284,race,1
285,age,22
285,county,2
285,male,1
285,race,1
286,age,36
286,county,2
286,male,0
286,race,1
287,age,37
287,county,2
287,male,1
287,race,1
288,age,35
288,county,2
288,male,0
288,race,1
289,age,38
289,county,2
289,male,1
289,race,1
290,age,31
290,county,2
290,male,1
290,race,1
291,age,31
291,county,2
291,male,1
291,race,1
292,age,27
292,county,2
292,male,0
292,race,1
293,age,39
293,county,2
293,male,0
293,race,1
294,age,31
294,county,2
294,male,1
294,race,1
295,age,21
295,county,2
295,male,0
295,race,1
296,age,21
296,county,2
296,male,1
296,race,1
297,age,21
297,county,2
297,male,1
297,race,1
298,age,26
298,county,2
298,male,1
298,race,1
299,age,30
299,county,2
299,male,0
299,race,1
300,age,30
300,county,2
300,male,1
300,race,1
301,age,26
301,county,2
301,male,1
301,race,1
302,age,33
302,county,2
302,male,1
302,race,1
303,age,29
303,county,2
303,male,0
303,race,1
304,age,19
304,county,2
304,male,1
304,race,1
305,age,39
305,county,2
305,male,0
305,race,1
306,age,33
306,county,2
306,male,1
306,race,1
307,age,25
307,county,2
307,male,1
307,race,1
308,age,24
308,county,2
308,male,0
308,race,1
309,age,25
309,county,2
309,male,0
309,race,1
310,age,40
310,county,2
310,male,0
310,race,1
311,age,32
311,county,2
311,male,0
311,race,1
312,age,35
312,county,2
312,male,1
312,race,1
313,age,23
313,county,2
313,male,0
313,race,1
314,age,31
314,county,2
314,male,0
314,race,1
315,age,25
315,county,2
315,male,1
315,race,1
316,age,38
316,county,2
316,male,0
316,race,1
317,age,27
317,county,2
317,male,1
317,race,1
318,age,21
318,county,2
318,male,0
318,race,1
319,age,23
319,county,2
319,male,0
319,race,1
320,age,21
320,county,2
320,male,0
320,race,1
321,age,25
321,county,2
321,male,0
321,race,1
322,age,38
322,county,2
322,male,0
322,race,1
323,age,31
323,county,2
323,male,1
323,race,1
324,age,21
324,county,2
324,male,1
324,race,1
325,age,29
325,county,2
325,male,0
325,race,1
326,age,29
326,county,2
326,male,0
326,race,1
327,age,21
327,county,2
327,male,0
327,race,1
328,age,31
328,county,2
328,male,0
328,race,1
329,age,22
329,county,2
329,male,0
329,race,1
330,age,40
330,county,2
330,male,1
330,race,1
331,age,24
331,county,2
331,male,0
331,race,1
332,age,24
332,county,2
332,male,1
332,race,1
333,age,32
333,county,2
333,male,0
333,race,1
334,age,37
334,county,2
334,male,0
334,race,1
335,age,24
335,county,2
335,male,0
335,race,1
336,age,27
336,county,2
336,male,0
336,race,1
337,age,33
337,county,2
337,male,0
337,race,1
338,age,29
338,county,2
338,male,0
338,race,1
339,age,28
339,county,2
339,male,1
339,race,1
340,age,37
340,county,2
340,male,1
340,race,1
341,age,25
341,county,2
341,male,0
341,race,1
342,age,39
342,county,2
342,male,0
342,race,1
343,age,32
343,county,2
343,male,0
343,race,1
344,age,36
344,county,2
344,male,0
344,race,1
345,age,32
345,county,2
345,male,0
345,race,1
346,age,29
346,county,2
346,male,1
346,race,1
347,age,38
347,county,2
347,male,0
347,race,1
348,age,19
348,county,2
348,male,0
348,race,1
349,age,21
349,county,2
349,male,1
349,race,1
350,age,32
350,county,2
350,male,1
350,race,1
351,age,30
351,county,2
351,male,0
351,race,1
352,age,30
352,county,2
352,male,0
352,race,1
353,age,35
353,county,2
353,male,0
353,race,1
354,age,22
354,county,2
354,male,1
354,race,1
355,age,38
355,county,2
355,male,0
355,race,1
356,age,35
356,county,2
356,male,0
356,race,1
357,age,23
357,county,2
357,male,1
357,race,1
358,age,18
358,county,2
358,male,0
358,race,1
359,age,35
359,county,2
359,male,0
359,race,1
360,age,29
360,county,2
360,male,0
360,race,1
361,age,35
361,county,2
361,male,0
361,race,1
362,age,31
362,county,2
362,male,0
362,race,1
363,age,20
363,county,2
363,male,0
363,race,1
364,age,29
364,county,2
364,male,1
364,race,1
365,age,26
365,county,2
365,male,0
365,race,1
366,age,26
366,county,2
366,male,0
366,race,1
367,age,25
367,county,2
367,male,0
367,race,1
368,age,27
368,county,2
368,male,0
368,race,1
369,age,32
369,county,2
369,male,1
369,race,1
370,age,28
370,county,2
370,male,0
370,race,1
371,age,36
371,county,2
371,male,0
371,race,1
372,age,21
372,county,2
372,male,1
372,race,1
373,age,22
373,county,2
373,male,0
373,race,1
374,age,27
374,county,2
374,male,1
374,race,1
375,age,20
375,county,2
375,male,1
375,race,1
376,age,35
376,county,2
376,male,1
376,race,1
377,age,25
377,county,2
377,male,1
377,race,1
378,age,38
378,county,2
378,male,0
378,race,1
379,age,21
379,county,2
379,male,0
379,race,1
380,age,39
380,county,2
380,male,0
380,race,1
381,age,25
381,county,2
381,male,1
381,race,1
382,age,20
382,county,2
382,male,1
382,race,1
383,age,38
383,county,2
383,male,1
383,race,1
384,age,25
384,county,2
384,male,1
384,race,1
385,age,31
385,county,2
385,male,0
385,race,1
386,age,19
386,county,2
386,male,1
386,race,1
387,age,37
387,county,2
387,male,0
387,race,1
388,age,19
388,county,2
388,male,0
388,race,1
389,age,21
389,county,2
389,male,0
389,race,1
390,age,36
390,county,2
390,male,1
390,race,1
391,age,24
391,county,2
391,male,1
391,race,1
392,age,20
392,county,2
392,male,0
392,race,1
393,age,25
393,county,2
393,male,0
393,race,1
394,age,31
394,county,2
394,male,0
394,race,1
395,age,27
395,county,2
395,male,0
395,race,1
396,age,35
396,county,2
396,male,1
396,race,1
397,age,35
397,county,2
397,male,1
397,race,1
398,age,20
398,county,2
398,male,0
398,race,1
399,age,38
399,county,2
399,male,0
399,race,1
400,age,39
400,county,2
400,male,1
400,race,1
401,age,35
401,county,2
401,male,0
401,race,1
402,age,40
402,county,2
402,male,0
402,race,1
403,age,21
403,county,2
403,male,1
403,race,1
404,age,23
404,county,2
404,male,0
404,race,1
405,age,30
405,county,2
405,male,0
405,race,1
406,age,24
406,county,2
406,male,0
406,race,1
407,age,23
407,county,2
407,male,0
407,race,1
408,age,22
408,county,2
408,male,1
408,race,1
409,age,27
409,county,2
409,male,0
409,race,1
410,age,31
410,county,2
410,male,0
410,race,1
411,age,21
411,county,2
411,male,0
411,race,1
412,age,25
412,county,2
412,male,1
412,race,1
413,age,22
413,county,2
413,male,1
413,race,1
414,age,34
414,county,2
414,male,0
414,race,1
415,age,18
415,county,2
415,male,1
415,race,1
416,age,36
416,county,2
416,male,1
416,race,1
417,age,29
417,county,2
417,male,1
417,race,1
418,age,18
418,county,2
418,male,0
418,race,1
419,age,36
419,county,2
419,male,1
419,race,1
420,age,23
420,county,2
420,male,0
420,race,1
421,age,29
421,county,2
421,male,1
421,race,1
422,age,22
422,county,2
422,male,0
422,race,1
423,age,8
423,county,2
423,male,1
423,race,1
424,age,28
424,county,2
424,male,0
424,race,1
425,age,25
425,county,2
425,male,0
425,race,1
426,age,25
426,county,2
426,male,0
426,race,1
427,age,23
427,county,2
427,male,1
427,race,1
428,age,37
428,county,2
428,male,1
428,race,1
429,age,21
429,county,2
429,male,1
429,race,1
430,age,39
430,county,2
430,male,0
430,race,1
431,age,40
431,county,2
431,male,0
431,race,1
432,age,18
432,county,2
432,male,0
432,race,1
433,age,19
433,county,2
433,male,1
433,race,1
434,age,23
434,county,2
434,male,0
434,race,1
435,age,28
435,county,2
435,male,0
435,race,1
436,age,24
436,county,2
436,male,0
436,race,1
437,age,26
437,county,2
437,male,0
437,race,1
438,age,22
438,county,2
438,male,0
438,race,1
439,age,24
439,county,2
439,male,1
439,race,1
440,age,24
440,county,2
440,male,1
440,race,1
441,age,20
441,county,2
441,male,1
441,race,1
442,age,22
442,county,2
442,male,1
442,race,1
443,age,22
443,county,2
443,male,0
443,race,1
444,age,40
444,county,2
444,male,0
444,race,1
445,age,36
445,county,2
445,male,1
445,race,1
446,age,23
446,county,2
446,male,1
446,race,1
447,age,27
447,county,2
447,male,0
447,race,1
448,age,28
448,county,2
448,male,0
448,race,1
449,age,24
449,county,2
449,male,0
449,race,1
450,age,25
450,county,2
450,male,0
450,race,1
451,age,23
451,county,2
451,male,1
451,race,1
452,age,37
452,county,2
452,male,0
452,race,1
453,age,28
453,county,2
453,male,0
453,race,1
454,age,39
454,county,2
454,male,0
454,race,1
455,age,33
455,county,2
455,male,0
455,race,1
456,age,31
456,county,2
456,male,1
456,race,1
457,age,26
457,county,2
457,male,1
457,race,1
458,age,23
458,county,2
458,male,1
458,race,1
459,age,26
459,county,2
459,male,1
459,race,1
460,age,28
460,county,2
460,male,1
460,race,1
461,age,32
461,county,2
461,male,1
461,race,1
462,age,21
462,county,2
462,male,1
462,race,1
463,age,30
463,county,2
463,male,1
463,race,1
464,age,38
464,county,2
464,male,1
464,race,1
465,age,23
465,county,2
465,male,1
465,race,1
466,age,23
466,county,2
466,male,0
466,race,1
467,age,26
467,county,2
467,male,1
467,race,1
468,age,25
468,county,2
468,male,0
468,race,1
469,age,25
469,county,2
469,male,0
469,race,1
470,age,40
470,county,2
470,male,0
470,race,1
471,age,38
471,county,2
471,male,0
471,race,1
472,age,20
472,county,2
472,male,0
472,race,1
473,age,38
473,county,2
473,male,0
473,race,1
474,age,29
474,county,2
474,male,1
474,race,1
475,age,40
475,county,2
475,male,1
475,race,1
476,age,31
476,county,2
476,male,0
476,race,1
477,age,34
477,county,2
477,male,0
477,race,1
478,age,22
478,county,2
478,male,1
478,race,1
479,age,32
479,county,2
479,male,0
479,race,1
480,age,29
480,county,2
480,male,0
480,race,1
481,age,18
481,county,2
481,male,1
481,race,1
482,age,20
482,county,2
482,male,0
482,race,1
483,age,22
483,county,2
483,male,1
483,race,1
484,age,37
484,county,2
484,male,1
484,race,1
485,age,30
485,county,2
485,male,1
485,race,1
486,age,32
486,county,2
486,male,1
486,race,1
487,age,37
487,county,2
487,male,1
487,race,1
488,age,38
488,county,2
488,male,0
488,race,1
489,age,30
489,county,2
489,male,0
489,race,1
490,age,24
490,county,2
490,male,1
490,race,1
491,age,37
491,county,2
491,male,0
491,race,1
492,age,40
492,county,2
492,male,1
492,race,1
493,age,27
493,county,2
493,male,1
493,race,1
494,age,34
494,county,2
494,male,0
494,race,1
495,age,37
495,county,2
495,male,0
495,race,1
496,age,36
496,county,2
496,male,0
496,race,1
497,age,34
497,county,2
497,male,1
497,race,1
498,age,25
498,county,2
498,male,1
498,race,1
499,age,29
499,county,2
499,male,1
499,race,1
500,age,38
500,county,2
500,male,0
500,race,1
501,age,22
501,county,2
501,male,1
501,race,1
502,age,23
502,county,2
502,male,1
502,race,1
503,age,26
503,county,2
503,male,0
503,race,1
504,age,19
504,county,2
504,male,1
504,race,1
505,age,33
505,county,2
505,male,0
505,race,1
506,age,23
506,county,2
506,male,1
506,race,1
507,age,27
507,county,2
507,male,1
507,race,1
508,age,27
508,county,2
508,male,1
508,race,1
509,age,34
509,county,2
509,male,1
509,race,1
510,age,35
510,county,2
510,male,1
510,race,1
511,age,35
511,county,2
511,male,1
511,race,1
512,age,28
512,county,2
512,male,0
512,race,1
513,age,28
513,county,2
513,male,1
513,race,1
514,age,36
514,county,2
514,male,1
514,race,1
515,age,19
515,county,2
515,male,0
515,race,1
516,age,21
516,county,2
516,male,0
516,race,1
517,age,33
517,county,2
517,male,1
517,race,1
518,age,26
518,county,2
518,male,1
518,race,1
519,age,24
519,county,2
519,male,1
519,race,1
520,age,23
520,county,2
520,male,0
520,race,1
521,age,18
521,county,2
521,male,0
521,race,1
522,age,22
522,county,2
522,male,1
522,race,1
523,age,24
523,county,2
523,male,1
523,race,1
524,age,27
524,county,2
524,male,1
524,race,1
525,age,35
525,county,2
525,male,1
525,race,1
526,age,30
526,county,2
526,male,0
526,race,1
527,age,22
527,county,2
527,male,0
527,race,1
528,age,39
528,county,2
528,male,1
528,race,1
529,age,23
529,county,2
529,male,1
529,race,1
530,age,33
530,county,2
530,male,0
530,race,1
531,age,34
531,county,2
531,male,1
531,race,1
532,age,18
532,county,2
532,male,0
532,race,1
533,age,18
533,county,2
533,male,1
533,race,1
534,age,24
534,county,2
534,male,1
534,race,1
535,age,20
535,county,2
535,male,0
535,race,1
536,age,34
536,county,2
536,male,1
536,race,1
537,age,32
537,county,2
537,male,1
537,race,1
538,age,29
538,county,2
538,male,0
538,race,1
539,age,29
539,county,2
539,male,0
539,race,1
540,age,37
540,county,2
540,male,1
540,race,1
541,age,37
541,county,2
541,male,0
541,race,1
542,age,19
542,county,2
542,male,1
542,race,1
543,age,29
543,county,2
543,male,1
543,race,1
544,age,31
544,county,2
544,male,1
544,race,1
545,age,35
545,county,2
545,male,0
545,race,1
546,age,28
546,county,2
546,male,1
546,race,1
547,age,28
547,county,2
547,male,1
547,race,1
548,age,23
548,county,2
548,male,1
548,race,1
549,age,25
549,county,2
549,male,0
549,race,1
550,age,27
550,county,2
550,male,0
550,race,1
551,age,36
551,county,2
551,male,0
551,race,1
552,age,28
552,county,2
552,male,1
552,race,1
553,age,37
553,county,2
553,male,1
553,race,1
554,age,23
554,county,2
554,male,1
554,race,1
555,age,27
555,county,2
555,male,1
555,race,1
556,age,30
556,county,2
556,male,0
556,race,1
557,age,22
557,county,2
557,male,0
557,race,1
558,age,34
558,county,2
558,male,0
558,race,1
559,age,32
559,county,2
559,male,0
559,race,1
560,age,37
560,county,2
560,male,0
560,race,1
561,age,30
561,county,2
561,male,1
561,race,1
562,age,40
562,county,2
562,male,0
562,race,1
563,age,34
563,county,2
563,male,0
563,race,1
564,age,34
564,county,2
564,male,0
564,race,1
565,age,36
565,county,2
565,male,1
565,race,1
566,age,27
566,county,2
566,male,1
566,race,1
567,age,23
567,county,2
567,male,1
567,race,1
568,age,18
568,county,2
568,male,1
568,race,1
569,age,30
569,county,2
569,male,0
569,race,1
570,age,34
570,county,2
570,male,1
570,race,1
571,age,22
571,county,2
571,male,1
571,race,1
572,age,27
572,county,2
572,male,0
572,race,1
573,age,32
573,county,2
573,male,0
573,race,1
574,age,31
574,county,2
574,male,0
574,race,1
575,age,23
575,county,2
575,male,0
575,race,1
576,age,38
576,county,2
576,male,1
576,race,1
577,age,32
577,county,2
577,male,1
577,race,1
578,age,24
578,county,2
578,male,1
578,race,1
579,age,34
579,county,2
579,male,1
579,race,1
580,age,37
580,county,2
580,male,0
580,race,1
581,age,22
581,county,2
581,male,1
581,race,1
582,age,34
582,county,2
582,male,1
582,race,1
583,age,18
583,county,2
